,Predicciones,host_response_rate,price,host_acceptance_rate,room_type,accommodates,availability_30,availability_365,availability_60,availability_90,bedrooms,beds,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,calendar_updated,latitude,longitude,maximum_maximum_nights,maximum_minimum_nights,maximum_nights,maximum_nights_avg_ntm,minimum_maximum_nights,minimum_minimum_nights,minimum_nights,minimum_nights_avg_ntm,number_of_reviews,number_of_reviews_l30d,number_of_reviews_ltm,review_scores_accuracy,review_scores_checkin,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value,reviews_per_month
13934,55.58614830058684,50.0,190.0,33.0,,2.0,0,327,22.0,52.0,1.0,1.0,1,0.0,0,1,,19.42829,-99.17072,1125.0,2.0,1125,1125.0,1125.0,1.0,2.0,1.3,0.0,0.0,0.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,0.06
13949,64.50740934905367,100.0,350.0,50.0,,7.0,23,358,53.0,83.0,1.0,2.0,1,0.0,0,1,,19.434953689575195,-99.1323471069336,365.0,2.0,365,365.0,365.0,2.0,2.0,2.0,1.0,0.0,0.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,0.06
14081,90.22163237110513,100.0,240.0,99.0,,9.0,30,365,60.0,90.0,1.0,9.0,10,0.0,0,10,,19.43433,-99.14387,365.0,1.0,365,365.0,365.0,1.0,1.0,1.0,4.0,1.0,3.0,4.0,4.0,3.75,4.25,4.5,3.5,4.25,0.23
14083,90.22163237110513,100.0,240.0,99.0,,9.0,29,364,59.0,89.0,1.0,9.0,10,0.0,0,10,,19.43536,-99.1426,365.0,1.0,365,365.0,365.0,1.0,1.0,1.0,30.0,0.0,24.0,4.73,4.8,4.5,4.77,4.83,4.67,4.67,1.77
14084,90.22163237110513,100.0,240.0,99.0,,9.0,30,364,60.0,90.0,1.0,9.0,10,0.0,0,10,,19.43349,-99.14422,365.0,1.0,365,365.0,365.0,1.0,1.0,1.0,4.0,0.0,2.0,3.75,5.0,4.25,4.5,5.0,4.0,3.75,0.23
14085,90.22163237110513,100.0,240.0,99.0,,9.0,30,364,60.0,90.0,1.0,9.0,10,0.0,0,10,,19.43385,-99.14537,365.0,1.0,365,365.0,365.0,1.0,1.0,1.0,13.0,0.0,11.0,5.0,4.85,4.54,4.77,5.0,4.62,4.77,0.76
14089,90.22163237110513,100.0,240.0,99.0,,9.0,30,365,60.0,90.0,1.0,9.0,10,0.0,0,10,,19.4327,-99.14509,365.0,1.0,365,365.0,365.0,1.0,1.0,1.0,5.0,0.0,5.0,4.0,4.2,4.4,4.4,5.0,4.4,4.4,0.52
14090,90.22163237110513,100.0,240.0,99.0,,9.0,30,365,60.0,90.0,1.0,9.0,10,0.0,0,10,,19.43236,-99.14391,365.0,1.0,365,365.0,365.0,1.0,1.0,1.0,10.0,0.0,4.0,4.7,4.9,4.5,4.5,4.8,4.2,4.3,0.59
14297,90.22163237110513,100.0,330.0,99.0,,9.0,30,365,60.0,90.0,1.0,9.0,10,0.0,0,10,,19.43205,-99.14396,1125.0,1.0,1125,1125.0,1125.0,1.0,1.0,1.0,0.0,0.0,0.0,4.25,4.63,4.31,4.75,4.88,4.5,4.81,0.99
14377,38.268406265327705,83.0,208.0,0.0,,1.0,27,362,57.0,87.0,1.0,1.0,1,0.0,0,1,,19.45005,-99.11786,5.0,1.0,5,5.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,4.25,4.63,4.31,4.75,4.88,4.5,4.81,0.99
14534,79.72603113761474,83.0,215.0,79.0,,1.0,20,348,50.0,73.0,1.0,1.0,1,0.0,0,1,,19.43423,-99.13508,365.0,1.0,365,365.0,365.0,1.0,1.0,1.0,16.0,0.0,9.0,4.25,4.63,4.31,4.75,4.88,4.5,4.81,0.99
